Date,Open,High,Low,Close,Volume
2020-01-02,2161.55,2200.57,2161.42,2200.1,21369888
2020-01-03,2192.31,2192.31,2159.03,2173.97,20627251
2020-01-04,2192.31,2192.31,2159.03,2173.97,20627251
2020-01-05,2192.31,2192.31,2159.03,2173.97,20627251
2020-01-06,2192.31,2192.31,2159.03,2173.97,20627251
2020-01-07,2171.72,2176.8,2143.11,2145.01,19556434
2020-01-08,2140.29,2140.29,2114.24,2115.99,20739943
2020-01-09,2132.02,2157.61,2132.02,2157.61,19887696
2020-01-10,2161.6,2167.91,2150.83,2167.91,16496395
2020-01-11,2161.6,2167.91,2150.83,2167.91,16496395
2020-01-12,2170.86,2194.42,2167.33,2194.42,22067379
2020-01-13,2170.86,2194.42,2167.33,2194.42,22067379
2020-01-14,2194.88,2194.88,2174.44,2182.96,29388336
2020-01-15,2180.55,2183.85,2158.36,2165.08,22745340
2020-01-16,2170.39,2179.43,2163.83,2173.74,20756877
2020-01-17,2172.14,2181.62,2147.94,2175.95,19782963
2020-01-18,2178.31,2183.84,2173.92,2178.06,15631644
2020-01-19,2178.31,2183.84,2173.92,2178.06,15631644
2020-01-20,2178.31,2183.84,2173.92,2178.06,15631644
2020-01-21,2174.93,2174.93,2152.62,2158.04,18927569
2020-01-22,2168.44,2172.76,2144.68,2146.56,27440004
2020-01-23,2144.56,2159.55,2141.62,2148.41,22561743
2020-01-24,2150.57,2166.31,2150.57,2154.28,17630461
2020-01-25,2141.68,2141.68,2083.69,2083.79,20984119
2020-01-26,2141.68,2141.68,2083.69,2083.79,20984119
2020-01-27,2141.68,2141.68,2083.69,2083.79,20984119
2020-01-28,2089.16,2105.76,2083.54,2098.04,17437951
2020-01-29,2099.3,2114.31,2090.41,2098.18,25644144
2020-01-30,2078.74,2093.68,2064.09,2079.98,23189128
2020-01-31,2085.41,2087.93,2052.68,2065.9,38290087
2020-02-01,2085.41,2087.93,2052.68,2065.9,38290087
2020-02-02,2085.41,2087.93,2052.68,2065.9,38290087
2020-02-03,2062.33,2077.58,2050.91,2072.88,25394120
2020-02-04,2082.19,2115.25,2081.81,2106.63,32249751
2020-02-05,2106.64,2133.91,2102.45,2122.91,21929283
2020-02-06,2128.24,2138.87,2105.59,2111.76,23411969
2020-02-07,2107.43,2110.2,2092.36,2110.2,18963173
2020-02-08,2107.43,2110.2,2092.36,2110.2,18963173
2020-02-09,2107.43,2110.2,2092.36,2110.2,18963173
2020-02-10,2108.67,2112.78,2087.72,2092.89,16134600
2020-02-11,2099.2,2114.89,2094.39,2107.4,21356120
2020-02-12,2120.01,2132.78,2115.92,2126.31,21380076
2020-02-13,2125.22,2125.22,2096.14,2120.07,19110037
2020-02-14,2126.64,2131.28,2111.22,2115.29,20893159
2020-02-15,2125.14,2131.6,2117.45,2121.14,14217981
2020-02-16,2125.14,2131.6,2117.45,2121.14,14217981
2020-02-17,2125.14,2131.6,2117.45,2121.14,14217981
2020-02-18,2112.15,2118.48,2103.76,2113.49,13882294
2020-02-19,2116.32,2122.67,2097.07,2115.18,21465468
2020-02-20,2115.39,2116.08,2098.12,2099.88,20482243
2020-02-21,2095.8,2106.18,2084.55,2088.53,16533483
2020-02-22,2095.8,2106.18,2084.55,2088.53,16533483
2020-02-23,2095.8,2106.18,2084.55,2088.53,16533483
2020-02-24,2070.66,2070.66,1997.84,2000.9,25032229
2020-02-25,2000.65,2007.34,1945.71,1945.71,32357249
2020-02-26,1942.66,1957.64,1906.06,1933.51,33550737
2020-02-27,1926.15,1927.44,1833.92,1850.61,33425936
2020-02-28,1817.79,1817.79,1735.37,1768.91,70088832
2020-03-01,1807.25,1840.57,1765.43,1807.7,40207534
2020-03-02,1807.25,1840.57,1765.43,1807.7,40207534
2020-03-03,1827.36,1906.87,1827.36,1889.67,39063455
